Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        2432 number of functions
        2432 number of names

    ordinal hint RVA      name

            182   AD 0000FBF0 LdrUnloadDll
            183   AE 0007DFB0 LdrUnlockLoaderLock
            184   AF 000CE6E0 LdrUnregisterDllNotification
            185   B0 000DEC80 LdrUpdatePackageSearchPath
            186   B1 000CE790 LdrVerifyImageMatchesChecksum
            187   B2 0008AB90 LdrVerifyImageMatchesChecksumEx
            188   B3 0004AC40 LdrpResGetMappingSize
            189   B4 00049670 LdrpResGetResourceDirectory
            190   B5 0010FD80 MD4Final
            191   B6 0010FE50 MD4Init
            192   B7 00110410 MD4Update
            193   B8 0005BE20 MD5Final
            194   B9 0007D720 MD5Init
            195   BA 0005BEF0 MD5Update
            196   BB 001697CC NlsAnsiCodePage
            197   BC 0016D740 NlsMbCodePageTag
            198   BD 0016D708 NlsMbOemCodePageTag
            199   BE 0009D090 NtAcceptConnectPort
            200   BF 0009D050 NtAccessCheck
            201   C0 0009D570 NtAccessCheckAndAuditAlarm
            202   C1 0009DCA0 NtAccessCheckByType
            203   C2 0009DB70 NtAccessCheckByTypeAndAuditAlarm
            204   C3 0009DCC0 NtAccessCheckByTypeResultList
            205   C4 0009DCE0 NtAccessCheckByTypeResultListAndAuditAlarm
            206   C5 0009DD00 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
            207   C6 0009DD20 NtAcquireCrossVmMutant
            208   C7 0009DD40 NtAcquireProcessActivityReference
            209   C8 0009D930 NtAddAtom
            210   C9 0009DD60 NtAddAtomEx
            211   CA 0009DD80 NtAddBootEntry
            212   CB 0009DDA0 NtAddDriverEntry
            213   CC 0009DDC0 NtAdjustGroupsToken
            214   CD 0009D870 NtAdjustPrivilegesToken
            215   CE 0009DDE0 NtAdjustTokenClaimsAndDeviceGroups
            216   CF 0009DE00 NtAlertResumeThread
            217   D0 0009DE20 NtAlertThread
            218   D1 0009DE40 NtAlertThreadByThreadId
            219   D2 0009DE60 NtAllocateLocallyUniqueId
            220   D3 0009DE80 NtAllocateReserveObject
            221   D4 0009DEA0 NtAllocateUserPhysicalPages
            222   D5 0009DEC0 NtAllocateUserPhysicalPagesEx
            223   D6 0009DEE0 NtAllocateUuids
            224   D7 0009D350 NtAllocateVirtualMemory
            225   D8 0009DF00 NtAllocateVirtualMemoryEx
            226   D9 0009DF20 NtAlpcAcceptConnectPort
            227   DA 0009DF40 NtAlpcCancelMessage
            228   DB 0009DF60 NtAlpcConnectPort
            229   DC 0009DF80 NtAlpcConnectPortEx
            230   DD 0009DFA0 NtAlpcCreatePort
            231   DE 0009DFC0 NtAlpcCreatePortSection
            232   DF 0009DFE0 NtAlpcCreateResourceReserve
            233   E0 0009E000 NtAlpcCreateSectionView
            234   E1 0009E020 NtAlpcCreateSecurityContext
            235   E2 0009E040 NtAlpcDeletePortSection
            236   E3 0009E060 NtAlpcDeleteResourceReserve
            237   E4 0009E080 NtAlpcDeleteSectionView
            238   E5 0009E0A0 NtAlpcDeleteSecurityContext
